DISTRICT,Stage of Groundwater Extraction %_2019,Total Use_2019,Annual Groundwater Recharge_2019,Stage of Ground Water Extraction (%)_2021,Total Use_2021,Annual Groundwater Recharge (ham)_2021,Stage of Groundwater Extraction %_2022,Total Use_2022,Annual Ground water Recharge (ham)_2022,Stage of Groundwater Extraction %_2023,Total Use_2023,Annual Ground water Recharge (ham)_2023
Bagalkot,92.56082944,48185.80637,57781.62283,83.85798327,52497.89,69481.84,81.72331299,53013.48,72077.21,81.72331299,53013.48,72077.21
Ballari,60.10374771,43422.28959,80169.70482,32.93746112,16084.66,54259.93,27.45502562,16995.49,68781.13,27.45502562,16995.49,68781.13
Belagavi,74.34704426,71196.03283,105589.365,63.48026924,76342.47,131883.12,67.70837595,77282.97,125931.38,67.70837595,77282.97,125931.38
Bengaluru (Rural),137.3748217,25182.68503,20346.86102,147.5122391,28718.14,21631.46,154.0017841,28969.06,20676.21,154.0017841,28969.06,20676.21
Bengaluru (Urban),138.6550092,21993.20838,17624.25124,150.432927,31919.4,23436.9,150.8396628,32198.34,23717.85,150.8396628,32198.34,23717.85
Bidar,50.63625585,13106.23281,28706.3445,60.30959154,19792.45,36464.56,58.62974522,19865.37,37626.64,58.62974522,19865.37,37626.64
Chamarajanagara,101.5609621,33507.16045,36657.98198,105.019286,36497.51,37770.62,96.53255286,34984.71,39919.7,96.53255286,34984.71,39919.7
Chikkaballapura,145.3581264,53858.97669,41169.55027,146.3586989,47578.52,36120.19,153.8209727,48229.52,34838.14,153.8209727,48229.52,34838.14
Chikkamagaluru,47.06397615,31438.80328,73814.54981,62.988592,33241.82,58188.56,53.20322583,33436.36,69829.44,53.20322583,33436.36,69829.44
Chitradurga,108.4244608,52172.63368,53465.41508,140.6307751,54531.13,43084.56,132.2458296,55317.28,46476.82,132.2458296,55317.28,46476.82
Dakshina Kannada,37.47434025,21083.45059,62512.26104,44.11596421,28319.93,70148.75,44.77705952,29551.31,73329.5,44.77705952,29551.31,73329.5
Davanagere,81.81053366,46180.60973,61794.34696,96.76770483,49877.52,57270.62,88.90521424,50095.67,62608.11,88.90521424,50095.67,62608.11
Dharwad,54.35942074,14185.02401,28650.18714,60.31966472,17590.68,32301.32,56.23765433,16356.21,32315.66,56.23765433,16356.21,32315.66
Gadag,86.90087521,23112.46198,29551.50071,87.26433913,23819.77,30328.98,74.62465876,24093.78,35388.21,74.62465876,24093.78,35388.21
Hassan,61.67738288,47694.3521,85618.48835,69.65052474,50940.36,81133.91,71.34984269,50920.97,79297.81,71.34984269,50920.97,79297.81
Haveri,54.46015681,37389.70169,75183.37258,69.32263593,33564.62,53797.77,60.98825431,36119.33,65803.81,60.98825431,36119.33,65803.81
Kalburgi,44.53108056,22340.77287,55743.24579,41.58866593,26478.31,69992.08,41.05823445,26805.32,71989.87,41.05823445,26805.32,71989.87
Kodagu,30.81423688,11107.16293,39759.15388,36.11896521,9817.03,30199.7,40.39237175,8971.17,24677.85,40.39237175,8971.17,24677.85
Kolara,199.9617708,79907.88227,44401.76654,181.8525625,70300.6,42953.37,172.7998394,70734.18,45482.41,172.7998394,70734.18,45482.41
Koppal,57.18132384,36245.55765,70331.57669,54.04865113,35185.58,72065.4,61.84087504,36550.27,65176.75,61.84087504,36550.27,65176.75
Mandya,56.6551624,47800.11251,93744.75281,62.22000377,40193.83,71194.93,60.75318572,40215.79,73397.56,60.75318572,40215.79,73397.56
Mysuru,46.45685795,33702.35848,80153.28271,60.08230438,32620.84,59979.58,55.29593026,31177.25,62379.15,55.29593026,31177.25,62379.15
Raichur,48.1114106,29832.85131,68603.42757,46.46913368,30690.07,73207.1,44.72734096,31227.31,77308.6,44.72734096,31227.31,77308.6
Ramanagara,90.4324759,33961.44975,41727.20736,96.12848454,38374.02,44355.0,95.77049391,39011.9,45260.86,95.77049391,39011.9,45260.86
Shivamogga,33.28987149,34117.14985,113823.7782,42.88282883,38851.74,99809.92,40.62424702,39232.7,106495.99,40.62424702,39232.7,106495.99
Tumakuru,90.44509706,69147.44431,84634.19923,94.59818181,68514.54,80096.42,91.77251683,68568.46,83017.42,91.77251683,68568.46,83017.42
Udupi,23.81917969,14392.63883,67138.41375,35.04390743,15673.71,49695.47,33.75276211,15910.35,52375.49,33.75276211,15910.35,52375.49
Uttara Kannada,24.4270008,22433.92802,101933.5906,32.68519205,26707.26,90448.16,32.10959837,26940.47,92912.18,32.10959837,26940.47,92912.18
Vijayanagara,90.037407,30575.74,37559.07,90.03740695,30575.74,37559.07,83.48856246,30863.1,40916.0,83.48856246,30863.1,40916.0
Vijayapura,65.51870422,29727.16961,49999.4564,62.89875748,38181.59,67218.49,40.50337823,38639.19,105997.17,40.50337823,38639.19,105997.17
Yadgir,36.49537701,14772.34281,44974.78181,42.97996107,18496.74,47817.45,37.98588505,19445.4,56587.8,37.98588505,19445.4,56587.8
