S.No,DISTRICT,Rainfall(mm)_2019,Recharge worthy area_2019,Annual Groundwater Recharge_2019,Domestic_2019,Industrial_2019,Irrigation_2019,Total Use_2019,Stage of Groundwater Extraction %_2019,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham)_2019,Net Annual Ground Water Availability for Future Use (ham)_2019,Total Ground Water Availability in the area (ham)_2019,Rainfall_2021,Recharge worthy area_2021,Rainfall Recharge_2021,Annual Groundwater Recharge (ham)_2021,Annual Extractable Ground water Resource (ham)_2021,Domestic_2021,Industrial_2021,Irrigation_2021,Total Use_2021,Stage of Ground Water Extraction (%)_2021,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham)_2021,Net Annual Ground Water Availability for Future Use (ham)_2021,Total Ground Water Availability in the area (ham)_2021,Rainfall_2022,Recharge worthy area_2022,Annual Ground water Recharge (ham)_2022,Domestic_2022,Industrial_2022,Irrigation_2022,Total Use_2022,Stage of Groundwater Extraction %_2022,Allocation of Ground Water Resources_2022,Net Annual Ground Water Availability for Future Use (ham)_2022,Total Ground Water Availability in the area (ham)_2022,Rainfall_2023,Recharge worthy area_2023,Annual Ground water Recharge (ham)_2023,Domestic_2023,Industrial_2023,Irrigation_2023,Total Use_2023,Stage of Groundwater Extraction %_2023,Allocation of Ground Water Resources_2023,Net Annual Ground Water Availability for Future Use (ham)_2023,Hilly Area,Total_Area,Permeability,Latitude,Longitude
1,Bagalkot,582.0296264,595257.3825,57781.62283,3639.619149,0,44546.19629,48185.80637,92.56082944,3951.624366,10148.47992,52058.52914,670.7881419,628380,23306.81,69481.84,62603.33,4341.505932,28.2875,48128.09,52497.89,83.85798327,4601.51,19587.32,62603.33,682.4917733,628380.0,72077.21,4395.74391,28.2875,48589.44,53013.48,81.72331299,4601.51,27266.76,64869.47,682.4917733,628380.0,72077.21,4395.74391,28.2875,48589.44,53013.48,81.72331299,4601.51,27266.76,27812.0,656192.0,Moderate to Low,16.1865,75.6961
2,Ballari,629.8982923,923956.5124,80169.70482,4348.48337,0,39073.80024,43422.28959,60.10374771,4745.145674,32328.11395,72245.56078,623.1391236,375891,16709.02,54259.93,48833.94,1901.234484,370.4300993,13813.0,16084.66,32.93746112,2108.96,32755.74,48833.94,618.8174011,375891.0,68781.13,1935.807795,373.6,14686.1,16995.49,27.45502562,2108.96,45086.99,61903.02,618.8174011,375891.0,68781.13,1935.807795,373.6,14686.1,16995.49,27.45502562,2108.96,45086.99,46726.0,422617.0,Low,15.1394,76.9214
3,Belagavi,760.8293457,1219629.548,105589.365,10641.69056,0,60554.28489,71196.03283,74.34704426,11510.24161,31997.84138,95761.75293,849.4629233,1295629,64453.01,131883.12,120261.73,11400.43077,532.8433969,64409.15,76342.47,63.48026924,13217.96,48185.44,120261.73,881.2487497,1295629.0,125931.38,12363.56457,224.80825,64694.57,77282.97,67.70837595,13928.72,40935.75,114140.93,881.2487497,1295629.0,125931.38,12363.56457,224.80825,64694.57,77282.97,67.70837595,13928.72,40935.75,44262.0,1339891.0,Low to Moderate,15.8497,74.4977
4,Bengaluru (Rural),814.9640516,203577.3461,20346.86102,1503.337532,0,23679.34377,25182.68503,137.3748217,1708.056426,109.4640183,18331.36867,987.9857814,223651,14076.64,21631.46,19468.31,2370.772893,779.889924,25567.5,28718.14,147.5122391,2572.12,0.0,19468.31,834.6499278,223651.0,20676.21,2581.284015,820.278855,25567.5,28969.06,154.0017841,2771.15,0.0,18810.86,834.6499278,223651.0,20676.21,2581.284015,820.278855,25567.5,28969.06,154.0017841,2771.15,0.0,6386.0,230037.0,Moderate to Rapid,13.196,77.6951
5,Bengaluru (Urban),872.4250955,172061.4653,17624.25124,1419.275305,0,20573.92648,21993.20838,138.6550092,1660.566315,0.0,15861.82029,992.9929795,213026,13700.42,23436.9,21218.36,3486.319583,7825.8,20607.3,31919.4,150.432927,3659.66,0.0,21218.36,779.3917691,213026.0,23717.85,3536.034116,8025.9,20636.4,32198.34,150.8396628,3659.66,0.0,21346.07,779.3917691,213026.0,23717.85,3536.034116,8025.9,20636.4,32198.34,150.8396628,3659.66,0.0,6533.0,219559.0,Moderate to Rapid,12.9716,77.5946
6,Bidar,833.8892789,401470.9581,28706.3445,1020.585865,0,12085.64192,13106.23281,50.63625585,1103.795485,12743.17615,25883.10013,841.7838414,545314,29626.71,36464.56,32818.08,4291.201742,49.296,15451.96,19792.45,60.30959154,4487.09,13090.42,32818.08,852.8859868,545314.0,37626.64,4264.979338,0.0,15600.4,19865.37,58.62974522,4416.03,13908.04,33882.75,852.8859868,545314.0,37626.64,4264.979338,0.0,15600.4,19865.37,58.62974522,4416.03,13908.04,139.0,545453.0,Low,17.9133,77.5301
7,Chamarajanagara,782.5359304,382826.567,36657.98198,3105.320153,0,30401.86093,33507.16045,101.5609621,3905.167135,2477.147374,32992.16526,1105.271028,360940,25122.36,37770.62,34753.15,2622.740529,0.0,33874.78,36497.51,105.019286,3173.32,2697.37,34753.15,1180.563597,360940.0,39919.7,2693.006044,27.02387,32264.69025,34984.71,96.53255286,3173.32,3876.96,36241.36,1180.563597,360940.0,39919.7,2693.006044,27.02387,32264.69025,34984.71,96.53255286,3173.32,3876.96,202986.0,563926.0,Moderate to Rapid,11.9236,76.939
8,Chikkaballapura,736.850781,340708.247,41169.55027,3078.114809,0,50780.87758,53858.97669,145.3581264,3380.957115,931.09,69066.20459,907.3608672,373482,21885.62,36120.19,32508.16,2959.379631,95.51998,44523.62,47578.52,146.3586989,3150.21,0.0,32508.16,877.0975504,373482.0,34838.14,3008.421615,95.51998,45125.54,48229.52,153.8209727,3173.68,0.0,31354.32,877.0975504,373482.0,34838.14,3008.421615,95.51998,45125.54,48229.52,153.8209727,3173.68,0.0,51623.0,425105.0,Moderate to Rapid,13.435,77.7315
9,Chikkamagaluru,1629.408865,593790.9538,73814.54981,2433.690427,0,29005.1311,31438.80328,47.06397615,2536.883925,37269.30971,66800.1428,1499.870991,423494,37607.47,58188.56,52774.35,2446.212042,0.152354,30795.46,33241.82,62.988592,2625.54,23839.7,52774.35,1477.036518,423494.0,69829.44,2476.014657,0.152354,30960.21,33436.36,53.20322583,2625.54,31378.59,62846.49,1477.036518,423494.0,69829.44,2476.014657,0.152354,30960.21,33436.36,53.20322583,2625.54,31378.59,297454.0,720948.0,Rapid,13.3153,75.7754
10,Chitradurga,590.8168112,768712.6377,53465.41508,4358.176155,0,47814.4869,52172.63368,108.4244608,4721.164291,6321.079123,48118.87771,578.348627,800461,31066.6,43084.56,38776.1,3827.573595,77.43,50626.11,54531.13,140.6307751,4073.87,1696.01,38776.1,566.7138312,800461.0,46476.82,3878.188875,95.61,51343.5,55317.28,132.2458296,4073.87,937.46,41829.13,566.7138312,800461.0,46476.82,3878.188875,95.61,51343.5,55317.28,132.2458296,4073.87,937.46,43012.0,843473.0,Low to Moderate,14.2306,76.398
11,Dakshina Kannada,3853.848831,337600.6786,62512.26104,3077.120801,0,18006.33016,21083.45059,37.47434025,3262.792144,34991.90464,56261.03208,4154.609667,330867,60661.2,70148.75,64194.29,5062.71936,40.159125,23217.05,28319.93,44.11596421,5501.6,35435.48,64194.29,4074.77982,330867.0,73329.5,5139.796684,40.159125,24371.36,29551.31,44.77705952,5501.6,36083.43,65996.54,4074.77982,330867.0,73329.5,5139.796684,40.159125,24371.36,29551.31,44.77705952,5501.6,36083.43,153627.0,484494.0,Rapid,12.9141,74.856
12,Davanagere,671.9218002,428423.4489,61794.34696,2681.484576,0,43499.13075,46180.60973,81.81053366,2854.274987,18362.85032,56448.24409,732.5659672,409552,18811.32,57270.62,51543.56,3589.924212,228.0477,46059.55,49877.52,96.76770483,3732.26,14745.93,51543.56,732.5659672,409552.0,62608.11,3621.795282,228.0477,46245.8,50095.67,88.90521424,3732.26,18487.56,56347.28,732.5659672,409552.0,62608.11,3621.795282,228.0477,46245.8,50095.67,88.90521424,3732.26,18487.56,38412.0,447964.0,Low to Moderate,14.4644,75.921
13,Dharwad,773.7436005,359667.1523,28650.18714,1517.531487,0,12667.48906,14185.02401,54.35942074,1622.571204,11815.92843,26094.87706,779.4295639,416328,19424.68,32301.32,29162.43,2967.561646,68.8625,14554.25,17590.68,60.31966472,3099.47,11439.85,29162.43,727.1879032,416328.0,32315.66,1710.358902,76.1625,14569.69,16356.21,56.23765433,1769.03,12669.21,29084.09,727.1879032,416328.0,32315.66,1710.358902,76.1625,14569.69,16356.21,56.23765433,1769.03,12669.21,9157.0,425485.0,Moderate,15.4589,75.0078
14,Gadag,658.243871,389326.8212,29551.50071,1997.328959,0,21115.11875,23112.46198,86.90087521,2127.005756,5145.293757,26596.35121,661.1431352,452899,17001.96,30328.98,27296.11,649.948638,26.52115,23143.3,23819.77,87.26433913,733.62,6265.62,27296.11,659.9561059,435987.0,35388.21,660.818484,27.68071338,23405.27,24093.78,74.62465876,732.18,8766.67,32286.62,659.9561059,435987.0,35388.21,660.818484,27.68071338,23405.27,24093.78,74.62465876,732.18,8766.67,29528.0,465515.0,Low,15.4298,75.6297
15,Hassan,1079.270177,645565.5235,85618.48835,3740.595045,0,43953.75491,47694.3521,61.67738288,4018.813627,35182.21105,77328.75468,997.9199409,596297,33846.22,81133.91,73137.08,3014.678007,42.974635,47882.71288,50940.36,69.65052474,3142.7,26078.21,73137.08,931.8109784,596297.0,79297.81,3038.259051,0.0,47882.71288,50920.97,71.34984269,3142.7,28276.84,71368.02,931.8109784,596297.0,79297.81,3038.259051,0.0,47882.71288,50920.97,71.34984269,3142.7,28276.84,85569.0,681866.0,Moderate to Rapid,13.0072,76.096
