DISTRICT,Rainfall_Classification_2024,Rainfall_Classification_2025,Rainfall_Classification_2026
Bagalkot,Low,Low,Low
Ballari,Low,Low,Low
Belagavi,Low,Low,Low
Bengaluru (Rural),Low,Low,Low
Bengaluru (Urban),Low,Low,Low
Bidar,Low,Low,Low
Chamarajanagara,Low,Low,Low
Chikkaballapura,Low,Low,Low
Chikkamagaluru,Low,Low,Low
Chitradurga,Low,Low,Low
Dakshina Kannada,Low,Low,Low
Davanagere,Low,Low,Low
Dharwad,Low,Low,Low
Gadag,Low,Low,Low
Hassan,Low,Low,Low
Haveri,Low,Low,Low
Kalburgi,Low,Low,Low
Kodagu,Low,Low,Low
Kolara,Low,Low,Low
Koppal,Low,Low,Low
Mandya,Low,Low,Low
Mysuru,Low,Low,Low
Raichur,Low,Low,Low
Ramanagara,Low,Low,Low
Shivamogga,Low,Low,Low
Tumakuru,Low,Low,Low
Udupi,Low,Low,Low
Uttara Kannada,Low,Low,Low
Vijayanagara,Low,Low,Low
Vijayapura,Low,Low,Low
Yadgir,Low,Low,Low
